f0_,station,f1_,f2_
2020-03-16,MSNBC,454,vaccine
2020-03-16,FOXNEWS,2736,vaccine
2020-03-16,KGO,11,vaccine
2020-03-16,BBCNEWS,12,vaccine
2020-03-17,BBCNEWS,1075,vaccine
2020-03-17,CNN,592,vaccine
2020-03-17,MSNBC,636,vaccine
2020-03-17,FOXNEWS,1657,vaccine
2020-03-17,KPIX,93,vaccine
2020-03-18,BBCNEWS,231,vaccine
2020-03-18,KNTV,16,vaccine
2020-03-18,FOXNEWS,14,vaccine
2020-03-18,MSNBC,18,vaccine
2020-03-18,CNN,573,vaccine
2020-03-19,CNN,2213,vaccine
2020-03-19,BBCNEWS,70,vaccine
2020-03-19,FOXNEWS,651,vaccine
2020-03-19,MSNBC,1363,vaccine
2020-03-20,KNTV,3,vaccine
2020-03-20,BBCNEWS,13,vaccine
2020-03-20,CNN,472,vaccine
2020-03-20,FOXNEWS,415,vaccine
2020-03-20,MSNBC,31,vaccine
2020-03-21,CNN,312,vaccine
2020-03-21,MSNBC,85,vaccine
2020-03-21,FOXNEWS,333,vaccine
2020-03-22,KNTV,130,vaccine
2020-03-22,MSNBC,104,vaccine
2020-03-22,FOXNEWS,200,vaccine
2020-03-22,BBCNEWS,81,vaccine
2020-03-22,CNN,271,vaccine
2020-03-23,BBCNEWS,13,vaccine
2020-03-23,MSNBC,9,vaccine
2020-03-23,CNN,406,vaccine
2020-03-23,FOXNEWS,481,vaccine
2020-03-24,FOXNEWS,474,vaccine
2020-03-24,CNN,251,vaccine
2020-03-24,MSNBC,17,vaccine
2020-03-25,MSNBC,107,vaccine
2020-03-25,BBCNEWS,18,vaccine
2020-03-25,FOXNEWS,295,vaccine
2020-03-26,CNN,72,vaccine
2020-03-26,MSNBC,107,vaccine
2020-03-26,BBCNEWS,95,vaccine
2020-03-26,FOXNEWS,391,vaccine
2020-03-27,FOXNEWS,347,vaccine
2020-03-27,BBCNEWS,22,vaccine
2020-03-27,MSNBC,70,vaccine
2020-03-27,CNN,341,vaccine
2020-03-28,BBCNEWS,6,vaccine
2020-03-28,CNN,12,vaccine
2020-03-29,CNN,156,vaccine
2020-03-29,FOXNEWS,137,vaccine
2020-03-29,MSNBC,8,vaccine
2020-03-29,BBCNEWS,76,vaccine
2020-03-30,FOXNEWS,130,vaccine
2020-03-30,MSNBC,13,vaccine
2020-03-30,CNN,335,vaccine
2020-03-31,FOXNEWS,392,vaccine
2020-03-31,KNTV,38,vaccine
2020-03-31,BBCNEWS,129,vaccine
2020-03-31,MSNBC,119,vaccine
2020-04-01,CNN,325,vaccine
2020-04-01,FOXNEWS,201,vaccine
2020-04-01,MSNBC,693,vaccine
2020-04-01,BBCNEWS,94,vaccine
2020-04-02,MSNBC,40,vaccine
2020-04-02,CNN,629,vaccine
2020-04-02,FOXNEWS,1275,vaccine
2020-04-03,CNN,981,vaccine
2020-04-03,MSNBC,4,vaccine
2020-04-03,FOXNEWS,923,vaccine
2020-04-04,CNN,27,vaccine
2020-04-04,FOXNEWS,1965,vaccine
2020-04-04,BBCNEWS,134,vaccine
2020-04-04,KNTV,2,vaccine
2020-04-05,MSNBC,151,vaccine
2020-04-05,CNN,644,vaccine
2020-04-05,BBCNEWS,69,vaccine
2020-04-05,KNTV,128,vaccine
2020-04-05,FOXNEWS,910,vaccine
2020-04-05,KGO,3,vaccine
2020-04-06,BBCNEWS,5,vaccine
2020-04-06,MSNBC,293,vaccine
2020-04-06,FOXNEWS,520,vaccine
2020-04-06,CNN,189,vaccine
2020-04-06,KGO,11,vaccine
2020-04-07,FOXNEWS,923,vaccine
2020-04-07,CNN,774,vaccine
2020-04-07,MSNBC,574,vaccine
2020-04-08,BBCNEWS,94,vaccine
2020-04-08,KPIX,6,vaccine
2020-04-08,KNTV,8,vaccine
2020-04-08,FOXNEWS,75,vaccine
2020-04-08,MSNBC,395,vaccine
2020-04-08,CNN,10,vaccine
2020-04-09,MSNBC,261,vaccine
2020-04-09,CNN,703,vaccine
2020-04-09,FOXNEWS,171,vaccine
2020-04-10,BBCNEWS,650,vaccine
2020-04-10,FOXNEWS,1134,vaccine
2020-04-10,CNN,870,vaccine
2020-04-10,MSNBC,15,vaccine
2020-04-11,BBCNEWS,65,vaccine
2020-04-11,FOXNEWS,803,vaccine
2020-04-11,MSNBC,43,vaccine
2020-04-11,CNN,79,vaccine
2020-04-12,MSNBC,49,vaccine
2020-04-12,BBCNEWS,36,vaccine
2020-04-12,FOXNEWS,69,vaccine
2020-04-12,CNN,797,vaccine
2020-04-13,KGO,3,vaccine
2020-04-13,CNN,388,vaccine
2020-04-13,MSNBC,475,vaccine
2020-04-13,FOXNEWS,711,vaccine
2020-04-13,BBCNEWS,222,vaccine
2020-04-14,CNN,244,vaccine
2020-04-14,BBCNEWS,197,vaccine
2020-04-14,FOXNEWS,346,vaccine
2020-04-14,MSNBC,1083,vaccine
2020-04-15,MSNBC,1035,vaccine
2020-04-15,FOXNEWS,579,vaccine
2020-04-15,KGO,155,vaccine
2020-04-15,BBCNEWS,94,vaccine
2020-04-15,KNTV,2,vaccine
2020-04-15,CNN,5993,vaccine
2020-04-16,CNN,2275,vaccine
2020-04-16,FOXNEWS,246,vaccine
2020-04-16,MSNBC,850,vaccine
2020-04-16,KNTV,5,vaccine
2020-04-16,KPIX,119,vaccine
2020-04-16,BBCNEWS,58,vaccine
2020-04-17,KGO,10,vaccine
2020-04-17,KPIX,73,vaccine
2020-04-17,CNN,1620,vaccine
2020-04-17,FOXNEWS,1060,vaccine
2020-04-17,BBCNEWS,5612,vaccine
2020-04-17,MSNBC,224,vaccine
2020-04-18,MSNBC,276,vaccine
2020-04-18,CNN,1145,vaccine
2020-04-18,FOXNEWS,574,vaccine
2020-04-18,BBCNEWS,2443,vaccine
2020-04-19,BBCNEWS,679,vaccine
