f0_,station,f1_,f2_
2020-04-07,BBCNEWS,448,lockdown
2020-04-08,KGO,55,lockdown
2020-04-08,BBCNEWS,6848,lockdown
2020-04-08,MSNBC,684,lockdown
2020-04-08,KNTV,41,lockdown
2020-04-08,KPIX,18,lockdown
2020-04-08,FOXNEWS,1520,lockdown
2020-04-08,CNN,1679,lockdown
2020-04-09,KGO,62,lockdown
2020-04-09,MSNBC,597,lockdown
2020-04-09,CNN,529,lockdown
2020-04-09,BBCNEWS,5292,lockdown
2020-04-09,KNTV,2,lockdown
2020-04-09,FOXNEWS,281,lockdown
2020-04-10,CNN,442,lockdown
2020-04-10,FOXNEWS,512,lockdown
2020-04-10,BBCNEWS,3009,lockdown
2020-04-10,MSNBC,223,lockdown
2020-04-11,FOXNEWS,1044,lockdown
2020-04-11,MSNBC,80,lockdown
2020-04-11,CNN,346,lockdown
2020-04-11,BBCNEWS,2363,lockdown
2020-04-12,MSNBC,29,lockdown
2020-04-12,BBCNEWS,1171,lockdown
2020-04-12,CNN,368,lockdown
2020-04-12,FOXNEWS,426,lockdown
2020-04-13,FOXNEWS,428,lockdown
2020-04-13,BBCNEWS,9186,lockdown
2020-04-13,MSNBC,315,lockdown
2020-04-13,CNN,234,lockdown
2020-04-14,CNN,473,lockdown
2020-04-14,BBCNEWS,8443,lockdown
2020-04-14,FOXNEWS,868,lockdown
2020-04-14,KGO,2,lockdown
2020-04-14,MSNBC,293,lockdown
2020-04-15,MSNBC,297,lockdown
2020-04-15,CNN,775,lockdown
2020-04-15,FOXNEWS,611,lockdown
2020-04-15,BBCNEWS,11806,lockdown
2020-04-16,CNN,653,lockdown
2020-04-16,FOXNEWS,1592,lockdown
2020-04-16,KGO,103,lockdown
2020-04-16,KPIX,10,lockdown
2020-04-16,MSNBC,385,lockdown
2020-04-16,KNTV,13,lockdown
2020-04-16,BBCNEWS,16774,lockdown
2020-04-17,CNN,580,lockdown
2020-04-17,FOXNEWS,740,lockdown
2020-04-17,BBCNEWS,9602,lockdown
2020-04-17,MSNBC,1005,lockdown
2020-04-18,FOXNEWS,500,lockdown
2020-04-18,MSNBC,553,lockdown
2020-04-18,CNN,638,lockdown
2020-04-18,BBCNEWS,5328,lockdown
2020-04-18,KNTV,5,lockdown
2020-04-19,BBCNEWS,7525,lockdown
2020-04-19,MSNBC,622,lockdown
2020-04-19,KGO,3,lockdown
2020-04-19,KPIX,2,lockdown
2020-04-19,CNN,668,lockdown
2020-04-19,FOXNEWS,1125,lockdown
2020-04-20,FOXNEWS,1607,lockdown
2020-04-20,BBCNEWS,3955,lockdown
2020-04-20,MSNBC,886,lockdown
2020-04-20,CNN,695,lockdown
2020-04-21,BBCNEWS,1127,lockdown
2020-04-21,CNN,346,lockdown
2020-04-21,KGO,72,lockdown
2020-04-21,FOXNEWS,2055,lockdown
2020-04-21,KNTV,7,lockdown
2020-04-21,MSNBC,509,lockdown
2020-04-22,BBCNEWS,1730,lockdown
2020-04-22,KGO,174,lockdown
2020-04-22,FOXNEWS,1598,lockdown
2020-04-22,MSNBC,550,lockdown
2020-04-22,CNN,2577,lockdown
2020-04-23,KPIX,88,lockdown
2020-04-23,BBCNEWS,2503,lockdown
2020-04-23,KNTV,1,lockdown
2020-04-23,MSNBC,221,lockdown
2020-04-23,FOXNEWS,2573,lockdown
2020-04-23,CNN,1669,lockdown
2020-04-24,MSNBC,1120,lockdown
2020-04-24,BBCNEWS,7709,lockdown
2020-04-24,FOXNEWS,1657,lockdown
2020-04-24,CNN,955,lockdown
2020-04-25,KNTV,3,lockdown
2020-04-25,FOXNEWS,1387,lockdown
2020-04-25,BBCNEWS,3764,lockdown
2020-04-25,MSNBC,124,lockdown
2020-04-25,CNN,244,lockdown
2020-04-26,FOXNEWS,1002,lockdown
2020-04-26,KPIX,72,lockdown
2020-04-26,BBCNEWS,6414,lockdown
2020-04-26,MSNBC,192,lockdown
2020-04-26,CNN,1231,lockdown
2020-04-27,FOXNEWS,1053,lockdown
2020-04-27,KGO,153,lockdown
2020-04-27,MSNBC,729,lockdown
2020-04-27,BBCNEWS,6327,lockdown
2020-04-27,CNN,1361,lockdown
2020-04-28,MSNBC,1263,lockdown
2020-04-28,BBCNEWS,4193,lockdown
2020-04-28,KNTV,120,lockdown
2020-04-28,CNN,398,lockdown
2020-04-28,FOXNEWS,2088,lockdown
2020-04-28,KGO,89,lockdown
2020-04-29,FOXNEWS,1471,lockdown
2020-04-29,BBCNEWS,1250,lockdown
2020-04-29,CNN,843,lockdown
2020-04-29,MSNBC,520,lockdown
2020-04-30,CNN,633,lockdown
2020-04-30,KGO,40,lockdown
2020-04-30,MSNBC,216,lockdown
2020-04-30,FOXNEWS,827,lockdown
2020-04-30,BBCNEWS,11461,lockdown
2020-05-01,CNN,629,lockdown
