f0_,station,f1_,f2_
2020-04-03,FOXNEWS,11,delta
2020-04-03,MSNBC,7,delta
2020-04-04,CNN,1,delta
2020-04-05,FOXNEWS,3,delta
2020-04-06,CNN,13,delta
2020-04-07,CNN,17,delta
2020-04-08,CNN,38,delta
2020-04-09,CNN,10,delta
2020-04-10,CNN,1,delta
2020-04-10,FOXNEWS,18,delta
2020-04-11,FOXNEWS,16,delta
2020-04-11,MSNBC,22,delta
2020-04-12,MSNBC,3,delta
2020-04-12,FOXNEWS,14,delta
2020-04-13,CNN,2,delta
2020-04-14,CNN,17,delta
2020-04-14,MSNBC,7,delta
2020-04-14,FOXNEWS,106,delta
2020-04-15,FOXNEWS,258,delta
2020-04-15,BBCNEWS,6,delta
2020-04-15,CNN,37,delta
2020-04-16,CNN,1,delta
2020-04-16,KGO,1,delta
2020-04-16,KNTV,1,delta
2020-04-17,CNN,2,delta
2020-04-18,CNN,6,delta
2020-04-18,MSNBC,3,delta
2020-04-18,FOXNEWS,7,delta
2020-04-18,BBCNEWS,35,delta
2020-04-19,KPIX,1,delta
2020-04-19,FOXNEWS,24,delta
2020-04-20,FOXNEWS,17,delta
2020-04-21,KNTV,1,delta
2020-04-22,MSNBC,4,delta
2020-04-22,FOXNEWS,23,delta
2020-04-22,BBCNEWS,5,delta
2020-04-23,FOXNEWS,198,delta
2020-04-23,MSNBC,7,delta
2020-04-24,FOXNEWS,7,delta
2020-04-24,KNTV,1,delta
2020-04-25,MSNBC,16,delta
2020-04-25,FOXNEWS,13,delta
2020-04-26,BBCNEWS,1,delta
2020-04-26,MSNBC,6,delta
2020-04-27,FOXNEWS,13,delta
2020-04-27,KNTV,6,delta
2020-04-28,FOXNEWS,1,delta
2020-04-28,KGO,2,delta
2020-04-28,CNN,39,delta
2020-04-29,KPIX,2,delta
2020-04-29,MSNBC,33,delta
2020-04-29,FOXNEWS,6,delta
2020-04-29,CNN,10,delta
2020-04-29,KNTV,8,delta
2020-04-30,CNN,3,delta
2020-04-30,FOXNEWS,90,delta
2020-05-01,CNN,137,delta
2020-05-01,BBCNEWS,50,delta
2020-05-01,FOXNEWS,137,delta
2020-05-01,KNTV,5,delta
2020-05-02,CNN,51,delta
2020-05-02,FOXNEWS,182,delta
2020-05-02,KGO,5,delta
2020-05-03,MSNBC,7,delta
2020-05-03,BBCNEWS,96,delta
2020-05-03,KPIX,1,delta
2020-05-03,CNN,33,delta
2020-05-03,FOXNEWS,63,delta
2020-05-04,KNTV,3,delta
2020-05-04,CNN,4,delta
2020-05-04,KGO,13,delta
2020-05-04,FOXNEWS,85,delta
2020-05-05,KNTV,7,delta
2020-05-05,MSNBC,25,delta
2020-05-06,BBCNEWS,11,delta
2020-05-06,CNN,40,delta
2020-05-06,FOXNEWS,39,delta
2020-05-07,CNN,9,delta
2020-05-07,FOXNEWS,4,delta
2020-05-07,BBCNEWS,5,delta
2020-05-08,MSNBC,1,delta
2020-05-08,FOXNEWS,76,delta
2020-05-09,BBCNEWS,56,delta
