f0_,station,f1_,f2_
2020-06-07,BBCNEWS,2249,Facemask
2020-06-07,FOXNEWS,72,Facemask
2020-06-07,CNN,11,Facemask
2020-06-07,MSNBC,16,Facemask
2020-06-08,KGO,4,Facemask
2020-06-08,BBCNEWS,37,Facemask
2020-06-08,CNN,85,Facemask
2020-06-08,MSNBC,5,Facemask
2020-06-08,FOXNEWS,9,Facemask
2020-06-09,FOXNEWS,24,Facemask
2020-06-09,MSNBC,133,Facemask
2020-06-09,CNN,33,Facemask
2020-06-09,KPIX,2,Facemask
2020-06-10,MSNBC,50,Facemask
2020-06-10,FOXNEWS,10,Facemask
2020-06-10,CNN,42,Facemask
2020-06-10,KGO,2,Facemask
2020-06-11,CNN,41,Facemask
2020-06-11,MSNBC,72,Facemask
2020-06-11,FOXNEWS,20,Facemask
2020-06-12,FOXNEWS,30,Facemask
2020-06-12,CNN,249,Facemask
2020-06-12,MSNBC,41,Facemask
2020-06-12,BBCNEWS,1,Facemask
2020-06-13,FOXNEWS,18,Facemask
2020-06-13,CNN,54,Facemask
2020-06-13,MSNBC,365,Facemask
2020-06-14,MSNBC,13,Facemask
2020-06-14,CNN,11,Facemask
2020-06-14,FOXNEWS,25,Facemask
2020-06-15,CNN,700,Facemask
2020-06-15,BBCNEWS,981,Facemask
2020-06-15,FOXNEWS,14,Facemask
2020-06-15,MSNBC,28,Facemask
2020-06-16,CNN,496,Facemask
2020-06-16,MSNBC,72,Facemask
2020-06-16,BBCNEWS,36,Facemask
2020-06-16,KPIX,1,Facemask
2020-06-16,FOXNEWS,89,Facemask
2020-06-17,KNTV,7,Facemask
2020-06-17,KPIX,2,Facemask
2020-06-17,MSNBC,432,Facemask
2020-06-17,FOXNEWS,110,Facemask
2020-06-17,CNN,216,Facemask
2020-06-18,KPIX,24,Facemask
2020-06-18,BBCNEWS,9,Facemask
2020-06-18,CNN,194,Facemask
2020-06-18,FOXNEWS,39,Facemask
2020-06-18,MSNBC,138,Facemask
2020-06-19,KPIX,1,Facemask
2020-06-19,FOXNEWS,97,Facemask
2020-06-19,BBCNEWS,57,Facemask
2020-06-19,CNN,271,Facemask
2020-06-19,MSNBC,418,Facemask
2020-06-20,KPIX,28,Facemask
2020-06-20,BBCNEWS,8,Facemask
2020-06-20,CNN,68,Facemask
2020-06-20,FOXNEWS,53,Facemask
2020-06-20,MSNBC,232,Facemask
2020-06-21,KPIX,5,Facemask
2020-06-21,FOXNEWS,93,Facemask
2020-06-21,MSNBC,61,Facemask
2020-06-21,BBCNEWS,2,Facemask
2020-06-21,CNN,17,Facemask
